,Clean_Text,place.country,coordinates,compound,type
478,suhasinih dillidurast such language termites was disturbingly common in rwanda leading up to 1994 and in myanmar with respect to the rohingya,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.0516,Negative
479,bangladesh prime minister sheikh hasina proposed three more recommendations to solve rohingya crisisunga18,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.2648,Positive
483,hpm in her speech during high level event on the global compact on refugees at un rohingya myanmar bangladesh unmigration unhumanrights refugeesmedia refugeeschief worldbank albd1971 ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.0,Neutral
487,who are the rohingya and what is happening in myanmar ,United States,"[[-71.189239, 42.435517], [-71.110782, 42.435517], [-71.110782, 42.47389], [-71.189239, 42.47389]]",0.0,Neutral
490,kutupalong refugee camp in bangladesh caused by the rohingya persecution in myanmar with the expansion site the combined refugee population is over 500000 making it the worlds largest refugee camp ahead of dadaab in kenya which has 250000 12 ,United States,"[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]",0.0,Neutral
529,did you know that this weeks howtogetawayabc includes a rohingya woman who immigrated to the united states its impoant we do not forget the plight of over 600000 displaced rohingya people who are facing genocide standupforhumanrights,United States,"[[-74.211974, 40.76822], [-74.1626346, 40.76822], [-74.1626346, 40.848801], [-74.211974, 40.848801]]",0.5371,Positive
532,if youre looking for a way to make a difference check this out right here thank for your work somiarid rise with rohingya children by nlg ,United States,"[[-122.2956, 37.983956], [-122.222315, 37.983956], [-122.222315, 38.035293], [-122.2956, 38.035293]]",0.3612,Positive
558,thehindu incindia pmoindia kapilsibal rahulgandhi amitshah divyaspandana  round up and toss illegal rohingya filth out  ,United States,"[[-117.6959476, 33.5349414], [-117.617598, 33.5349414], [-117.617598, 33.672075], [-117.6959476, 33.672075]]",-0.5574,Negative
561,ndtv why we care about rohingya pakistan amp bangladesh is a muslim country they dont want them we have already overpopulation in our country we do not need any more refugees send them to europe india is just a struggling 3rd world countrylike other 3rd world countries,United States,"[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]",0.0459,Neutral
564,good to see some good news about rohingya plight ,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",0.7003,Positive
566,spot on the demagogue nobel peace prize winner leader of myanmar silent while her army slaughtered the rohingya plenty of fecklessness in the world to go around ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.891,Positive
590,swilkinsonbc shirelegend the only thing ive heard thats more shocking than the utterly unconscionable behavior of israeli jews is the fact buddhist monks are apparently behind the genocide of the rohingya in burma,United States,"[[-106.10308, 35.586659], [-105.895133, 35.586659], [-105.895133, 35.726444], [-106.10308, 35.726444]]",-0.4576,Negative
601,exclusive eu considers trade sanctions on myanmar over rohingya ,United States,"[[-118.017789, 33.788913], [-117.684389, 33.788913], [-117.684389, 33.896813], [-118.017789, 33.896813]]",0.128,Positive
616,another rohingya man was killed by an elephant video from kalamabul408 for more on why this is happening read my dispatch from bangladesh for huffpost earlier this year ,United States,"[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]",-0.6705,Negative
637,special rappoeur on the sale amp sexual exploitation of children expressed concern over the sexual exploitation of rohingya children amp need for bringing perpetrators to the intl tribunal cou  unga73 thirdcommittee ,United States,"[[-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687]]",0.1779,Positive
639,in unga 3rd committee discussion on the rights of the child rappoeur on exploitation of children urges compact on migration to be translated into action more states now derelict in their duty to rescue children from the grave dangers they too often face including rohingya,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.3612,Negative
642,very powerful examples are there in burmas civil society such as karen women advocating for rohingya muslims but  the horizontal suppo only goes so far veical relations of state to citizen must be addressed as well  susieohayward inclusiveamerica aspenjsp,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.5714,Positive
649,in unga 3rd committee on promotion and protection of childrens rights saudiarabia laments that sg repo does not focus more on violations of children by armed nonstate groups  cites brutality of insurgents in yemen and abuses against rohingya that deserved more attention,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.9297,Negative
681,one of my favorite pakistani bands fuzon a sufi rock band is performing tonight at a charity event for rohingya muslims in minneapolis ,United States,"[[-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077]]",0.7003,Positive
682,did you know that this weeks howtogetawayabc includes a rohingya woman who immigrated to the united states its impoant we do not forget the plight of over 600000 displaced rohingya people who are facing genocide standupforhumanrights,United States,"[[-74.211974, 40.76822], [-74.1626346, 40.76822], [-74.1626346, 40.848801], [-74.211974, 40.848801]]",0.5371,Positive
685,if youre looking for a way to make a difference check this out right here thank for your work somiarid rise with rohingya children by nlg ,United States,"[[-122.2956, 37.983956], [-122.222315, 37.983956], [-122.222315, 38.035293], [-122.2956, 38.035293]]",0.3612,Positive
711,thehindu incindia pmoindia kapilsibal rahulgandhi amitshah divyaspandana  round up and toss illegal rohingya filth out  ,United States,"[[-117.6959476, 33.5349414], [-117.617598, 33.5349414], [-117.617598, 33.672075], [-117.6959476, 33.672075]]",-0.5574,Negative
714,ndtv why we care about rohingya pakistan amp bangladesh is a muslim country they dont want them we have already overpopulation in our country we do not need any more refugees send them to europe india is just a struggling 3rd world countrylike other 3rd world countries,United States,"[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]",0.0459,Neutral
717,good to see some good news about rohingya plight ,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",0.7003,Positive
719,spot on the demagogue nobel peace prize winner leader of myanmar silent while her army slaughtered the rohingya plenty of fecklessness in the world to go around ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.891,Positive
743,swilkinsonbc shirelegend the only thing ive heard thats more shocking than the utterly unconscionable behavior of israeli jews is the fact buddhist monks are apparently behind the genocide of the rohingya in burma,United States,"[[-106.10308, 35.586659], [-105.895133, 35.586659], [-105.895133, 35.726444], [-106.10308, 35.726444]]",-0.4576,Negative
754,exclusive eu considers trade sanctions on myanmar over rohingya ,United States,"[[-118.017789, 33.788913], [-117.684389, 33.788913], [-117.684389, 33.896813], [-118.017789, 33.896813]]",0.128,Positive
769,another rohingya man was killed by an elephant video from kalamabul408 for more on why this is happening read my dispatch from bangladesh for huffpost earlier this year ,United States,"[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]",-0.6705,Negative
784,special rappoeur on the sale amp sexual exploitation of children expressed concern over the sexual exploitation of rohingya children amp need for bringing perpetrators to the intl tribunal cou  unga73 thirdcommittee ,United States,"[[-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687]]",0.1779,Positive
786,in unga 3rd committee discussion on the rights of the child rappoeur on exploitation of children urges compact on migration to be translated into action more states now derelict in their duty to rescue children from the grave dangers they too often face including rohingya,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.3612,Negative
789,very powerful examples are there in burmas civil society such as karen women advocating for rohingya muslims but  the horizontal suppo only goes so far veical relations of state to citizen must be addressed as well  susieohayward inclusiveamerica aspenjsp,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.5714,Positive
796,in unga 3rd committee on promotion and protection of childrens rights saudiarabia laments that sg repo does not focus more on violations of children by armed nonstate groups  cites brutality of insurgents in yemen and abuses against rohingya that deserved more attention,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.9297,Negative
828,one of my favorite pakistani bands fuzon a sufi rock band is performing tonight at a charity event for rohingya muslims in minneapolis ,United States,"[[-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077], [-93.44329554346095, 45.10369930734077]]",0.7003,Positive
829,did you know that this weeks howtogetawayabc includes a rohingya woman who immigrated to the united states its impoant we do not forget the plight of over 600000 displaced rohingya people who are facing genocide standupforhumanrights,United States,"[[-74.211974, 40.76822], [-74.1626346, 40.76822], [-74.1626346, 40.848801], [-74.211974, 40.848801]]",0.5371,Positive
832,if youre looking for a way to make a difference check this out right here thank for your work somiarid rise with rohingya children by nlg ,United States,"[[-122.2956, 37.983956], [-122.222315, 37.983956], [-122.222315, 38.035293], [-122.2956, 38.035293]]",0.3612,Positive
858,thehindu incindia pmoindia kapilsibal rahulgandhi amitshah divyaspandana  round up and toss illegal rohingya filth out  ,United States,"[[-117.6959476, 33.5349414], [-117.617598, 33.5349414], [-117.617598, 33.672075], [-117.6959476, 33.672075]]",-0.5574,Negative
